transect,type,sample,density
1,Inside,debris.total,0.047770701
5,Inside,debris.total,2.407555201
8,Inside,debris.total,4.599928238
10,Inside,debris.total,4.19014733
14,Inside,debris.total,11.82518476
16,Inside,debris.total,0.474471377
17,Inside,debris.total,2.809917355
18,Inside,debris.total,0.661853189
19,Inside,debris.total,0.01618123
21,Inside,debris.total,0.086811352
22,Inside,debris.total,0.406091371
24,Inside,debris.total,0.000459348
26,Inside,debris.total,0.896825397
27,Inside,debris.total,0.198412698
28,Inside,debris.total,1.024300215
29,Inside,debris.total,0.002724121
31,Inside,debris.total,2.834773218
32,Inside,debris.total,0.645371578
33,Inside,debris.total,7.360159817
34,Inside,debris.total,0.21789601
36,Inside,debris.total,155.3117409
37,Inside,debris.total,61.07611549
39,Inside,debris.total,24.13453299
40,Inside,debris.total,124.4612371
43,Inside,debris.total,1.94250403
44,Inside,debris.total,82.26176808
45,Inside,debris.total,0
46,Inside,debris.total,0.028188669
47,Inside,debris.total,0
48,Inside,debris.total,0.025511493
49,Inside,debris.total,0.012771392
50,Inside,debris.total,0
54,Inside,debris.total,0.993330157
57,Inside,debris.total,4.384119444
59,Inside,debris.total,3.540575916
60,Inside,debris.total,970.3869654
61,Inside,debris.total,1.046171829
67,Inside,debris.total,19.44290657
68,Inside,debris.total,0.304477612
69,Inside,debris.total,2.148997135
71,Inside,debris.total,4.276923077
72,Inside,debris.total,0.718390805
76,Inside,debris.total,1.311902693
77,Inside,debris.total,4.8564753
78,Inside,debris.total,0.709112855
80,Inside,debris.total,0.87181143
85,Inside,debris.total,0.726153289
86,Inside,debris.total,0.214465679
88,Inside,debris.total,0.645874806
89,Inside,debris.total,0.044796115
90,Inside,debris.total,12.37853983
93,Inside,debris.total,1.437788018
96,Inside,debris.total,0.314526487
97,Inside,debris.total,21.84860797
98,Inside,debris.total,54.60444741
99,Inside,debris.total,7.853961244
101,Inside,debris.total,156.1559889
103,Inside,debris.total,0.115390613
105,Inside,debris.total,0.187856424
107,Inside,debris.total,100.0774927
109,Inside,debris.total,1.963842609
111,Inside,debris.total,0.226907631
113,Inside,debris.total,10.17827181
114,Inside,debris.total,11.36484099
116,Inside,debris.total,0.03327095
118,Inside,debris.total,1150.841424
120,Inside,debris.total,0.331141381
122,Inside,debris.total,82.243083
125,Inside,debris.total,99.1396648
127,Inside,debris.total,0.556178515
129,Inside,debris.total,4.450765006
131,Inside,debris.total,1.0776218
133,Inside,debris.total,0.336782309
135,Inside,debris.total,97.40412979
137,Inside,debris.total,0.960144928
139,Inside,debris.total,112.4822207
141,Inside,debris.total,0.174985657
143,Inside,debris.total,0.025531915
145,Inside,debris.total,44.79226774
147,Inside,debris.total,0.85995086
2,Outside,debris.total,0.054980947
4,Outside,debris.total,0.238095238
9,Outside,debris.total,0.074449077
13,Outside,debris.total,0.000281452
15,Outside,debris.total,0.003399258
20,Outside,debris.total,0.000326797
23,Outside,debris.total,0
30,Outside,debris.total,0
35,Outside,debris.total,0.010162602
38,Outside,debris.total,0.28635598
41,Outside,debris.total,1.434162706
42,Outside,debris.total,0.09160073
51,Outside,debris.total,0.057659208
52,Outside,debris.total,0.000251636
55,Outside,debris.total,0.041920732
56,Outside,debris.total,0.09808983
64,Outside,debris.total,0
65,Outside,debris.total,0.000428082
66,Outside,debris.total,0.000350877
70,Outside,debris.total,0.004261914
73,Outside,debris.total,0.06375518
74,Outside,debris.total,0.000480538
75,Outside,debris.total,0.109974425
79,Outside,debris.total,0
81,Outside,debris.total,0.003490401
84,Outside,debris.total,0.042704093
87,Outside,debris.total,0.078433193
91,Outside,debris.total,0.054254712
92,Outside,debris.total,0.034785252
95,Outside,debris.total,0.362493958
100,Outside,debris.total,0.017759886
102,Outside,debris.total,0.005735589
104,Outside,debris.total,0.559836452
106,Outside,debris.total,20.02105756
108,Outside,debris.total,0.876112252
110,Outside,debris.total,0.652969894
