transect,type,sample,density
1,Inside,H_Shannon,0.814444236
5,Inside,H_Shannon,2.089603785
8,Inside,H_Shannon,1.427690381
10,Inside,H_Shannon,1.673658768
14,Inside,H_Shannon,1.891837983
16,Inside,H_Shannon,2.160808463
17,Inside,H_Shannon,0.78511156
18,Inside,H_Shannon,1.271391679
19,Inside,H_Shannon,1.367625185
21,Inside,H_Shannon,1.511772847
22,Inside,H_Shannon,1.293131635
24,Inside,H_Shannon,1.357242161
26,Inside,H_Shannon,1.712287256
27,Inside,H_Shannon,0.974543101
28,Inside,H_Shannon,1.264332377
29,Inside,H_Shannon,1.709432399
31,Inside,H_Shannon,1.992212412
32,Inside,H_Shannon,1.234111343
33,Inside,H_Shannon,2.060090743
34,Inside,H_Shannon,1.905699816
36,Inside,H_Shannon,1.470096348
37,Inside,H_Shannon,1.576257024
39,Inside,H_Shannon,0.251165959
40,Inside,H_Shannon,0.259210185
43,Inside,H_Shannon,1.099991924
44,Inside,H_Shannon,1.440498602
45,Inside,H_Shannon,1.33217904
46,Inside,H_Shannon,0.673011667
47,Inside,H_Shannon,0
48,Inside,H_Shannon,2.003129244
49,Inside,H_Shannon,1.80800687
50,Inside,H_Shannon,0.79631164
54,Inside,H_Shannon,1.595799412
57,Inside,H_Shannon,0.299223892
59,Inside,H_Shannon,1.165137262
60,Inside,H_Shannon,2.310378304
61,Inside,H_Shannon,2.550595245
67,Inside,H_Shannon,1.512876564
68,Inside,H_Shannon,1.098612289
69,Inside,H_Shannon,1.748155457
71,Inside,H_Shannon,1.071200188
76,Inside,H_Shannon,1.054920168
77,Inside,H_Shannon,0.955699891
78,Inside,H_Shannon,0.693147181
80,Inside,H_Shannon,1.906154747
85,Inside,H_Shannon,2.365389893
86,Inside,H_Shannon,2.394247095
88,Inside,H_Shannon,1.863679987
89,Inside,H_Shannon,1.536649897
90,Inside,H_Shannon,1.896750942
93,Inside,H_Shannon,2.197023316
96,Inside,H_Shannon,2.202119636
97,Inside,H_Shannon,2.838752207
98,Inside,H_Shannon,3.132446165
99,Inside,H_Shannon,2.640330065
101,Inside,H_Shannon,2.265001039
103,Inside,H_Shannon,1.267677029
105,Inside,H_Shannon,1.357413795
107,Inside,H_Shannon,2.303219421
109,Inside,H_Shannon,1.853920177
111,Inside,H_Shannon,1.795632582
113,Inside,H_Shannon,1.907283999
114,Inside,H_Shannon,2.700278006
116,Inside,H_Shannon,1.055669848
118,Inside,H_Shannon,1.133392917
120,Inside,H_Shannon,1.030341919
122,Inside,H_Shannon,2.094402857
125,Inside,H_Shannon,2.28700624
127,Inside,H_Shannon,2.062624375
129,Inside,H_Shannon,2.249821627
131,Inside,H_Shannon,1.47013192
133,Inside,H_Shannon,1.529248293
135,Inside,H_Shannon,1.777047313
137,Inside,H_Shannon,1.558538147
139,Inside,H_Shannon,1.884629561
141,Inside,H_Shannon,0.827549515
143,Inside,H_Shannon,1.17105987
145,Inside,H_Shannon,1.483635317
147,Inside,H_Shannon,1.735126457
2,Outside,H_Shannon,0.636514168
4,Outside,H_Shannon,1.574857869
9,Outside,H_Shannon,1.651817547
13,Outside,H_Shannon,0.500402424
15,Outside,H_Shannon,1.695649578
20,Outside,H_Shannon,1.546798571
23,Outside,H_Shannon,1.198849313
30,Outside,H_Shannon,1.990170798
35,Outside,H_Shannon,2.042691719
38,Outside,H_Shannon,1.477379174
41,Outside,H_Shannon,0.081510411
42,Outside,H_Shannon,0.796883839
51,Outside,H_Shannon,0
52,Outside,H_Shannon,1.386294361
55,Outside,H_Shannon,0
56,Outside,H_Shannon,0
64,Outside,H_Shannon,0.955699891
65,Outside,H_Shannon,1.560710409
66,Outside,H_Shannon,0.636514168
70,Outside,H_Shannon,0.693147181
74,Outside,H_Shannon,0
75,Outside,H_Shannon,1.039720771
79,Outside,H_Shannon,0
81,Outside,H_Shannon,0
84,Outside,H_Shannon,1.969194216
87,Outside,H_Shannon,1.386294361
91,Outside,H_Shannon,2.163955657
92,Outside,H_Shannon,1.33217904
95,Outside,H_Shannon,1.857200791
100,Outside,H_Shannon,0
102,Outside,H_Shannon,1.246829642
104,Outside,H_Shannon,1.011404265
106,Outside,H_Shannon,1.767761472
108,Outside,H_Shannon,0.693147181
110,Outside,H_Shannon,1.609437912
112,Outside,H_Shannon,2.111630843
115,Outside,H_Shannon,1.85886142
117,Outside,H_Shannon,1.234267866
119,Outside,H_Shannon,1.22552892
121,Outside,H_Shannon,1.098612289
123,Outside,H_Shannon,1.054920168
126,Outside,H_Shannon,1.386294361
128,Outside,H_Shannon,1.726563629
130,Outside,H_Shannon,1.522955068
132,Outside,H_Shannon,2.210253578
134,Outside,H_Shannon,0
136,Outside,H_Shannon,1.33217904
138,Outside,H_Shannon,1.761205188
140,Outside,H_Shannon,1.512451178
142,Outside,H_Shannon,0.57236624
144,Outside,H_Shannon,0.950270539
146,Outside,H_Shannon,0.693147181
148,Outside,H_Shannon,0.636514168
1,Inside,HE_effspenum,2.257920452
5,Inside,HE_effspenum,8.081712431
8,Inside,HE_effspenum,4.169059125
10,Inside,HE_effspenum,5.331639386
14,Inside,HE_effspenum,6.631546157
16,Inside,HE_effspenum,8.678150791
17,Inside,HE_effspenum,2.19265154
18,Inside,HE_effspenum,3.565811577
19,Inside,HE_effspenum,3.926016053
21,Inside,HE_effspenum,4.534763115
22,Inside,HE_effspenum,3.644180951
24,Inside,HE_effspenum,3.885463031
26,Inside,HE_effspenum,5.541622101
27,Inside,HE_effspenum,2.649956172
28,Inside,HE_effspenum,3.540728075
29,Inside,HE_effspenum,5.525824122
31,Inside,HE_effspenum,7.331736651
32,Inside,HE_effspenum,3.43532434
33,Inside,HE_effspenum,7.846681806
34,Inside,HE_effspenum,6.724111626
36,Inside,HE_effspenum,4.349654201
37,Inside,HE_effspenum,4.836817793
39,Inside,HE_effspenum,1.28552341
40,Inside,HE_effspenum,1.295906156
43,Inside,HE_effspenum,3.004141761
44,Inside,HE_effspenum,4.222800791
45,Inside,HE_effspenum,3.789291416
46,Inside,HE_effspenum,1.960131704
47,Inside,HE_effspenum,1
48,Inside,HE_effspenum,7.412214475
49,Inside,HE_effspenum,6.098280645
50,Inside,HE_effspenum,2.217347452
54,Inside,HE_effspenum,4.93227041
57,Inside,HE_effspenum,1.348811578
59,Inside,HE_effspenum,3.206362965
60,Inside,HE_effspenum,10.07823657
61,Inside,HE_effspenum,12.81472941
67,Inside,HE_effspenum,4.539770972
68,Inside,HE_effspenum,3
69,Inside,HE_effspenum,5.743997849
71,Inside,HE_effspenum,2.918880603
76,Inside,HE_effspenum,2.871745887
77,Inside,HE_effspenum,2.600490006
78,Inside,HE_effspenum,2
80,Inside,HE_effspenum,6.727171322
85,Inside,HE_effspenum,10.64818966
86,Inside,HE_effspenum,10.95994315
88,Inside,HE_effspenum,6.447419591
89,Inside,HE_effspenum,4.648989562
90,Inside,HE_effspenum,6.664206832
93,Inside,HE_effspenum,8.99818883
96,Inside,HE_effspenum,9.044163528
97,Inside,HE_effspenum,17.09442192
98,Inside,HE_effspenum,22.93000157
99,Inside,HE_effspenum,14.01782964
101,Inside,HE_effspenum,9.631134604
103,Inside,HE_effspenum,3.552590405
105,Inside,HE_effspenum,3.886129967
107,Inside,HE_effspenum,10.00634529
109,Inside,HE_effspenum,6.384800071
111,Inside,HE_effspenum,6.023283739
113,Inside,HE_effspenum,6.73477229
114,Inside,HE_effspenum,14.88386896
116,Inside,HE_effspenum,2.873899586
118,Inside,HE_effspenum,3.106177644
120,Inside,HE_effspenum,2.802023737
122,Inside,HE_effspenum,8.120590365
125,Inside,HE_effspenum,9.845418699
127,Inside,HE_effspenum,7.866587619
129,Inside,HE_effspenum,9.48604363
131,Inside,HE_effspenum,4.349808932
133,Inside,HE_effspenum,4.614706611
135,Inside,HE_effspenum,5.912373233
137,Inside,HE_effspenum,4.75186963
139,Inside,HE_effspenum,6.583915053
141,Inside,HE_effspenum,2.287705878
143,Inside,HE_effspenum,3.225409342
145,Inside,HE_effspenum,4.408944492
147,Inside,HE_effspenum,5.669644725
2,Outside,HE_effspenum,1.889881575
4,Outside,HE_effspenum,4.83005507
9,Outside,HE_effspenum,5.216452362
13,Outside,HE_effspenum,1.649384888
15,Outside,HE_effspenum,5.450185137
20,Outside,HE_effspenum,4.696410863
23,Outside,HE_effspenum,3.316298704
30,Outside,HE_effspenum,7.316783346
35,Outside,HE_effspenum,7.711338046
38,Outside,HE_effspenum,4.381447609
41,Outside,HE_effspenum,1.084924513
42,Outside,HE_effspenum,2.21861658
51,Outside,HE_effspenum,1
52,Outside,HE_effspenum,4
55,Outside,HE_effspenum,1
56,Outside,HE_effspenum,1
64,Outside,HE_effspenum,2.600490006
65,Outside,HE_effspenum,4.762203156
66,Outside,HE_effspenum,1.889881575
70,Outside,HE_effspenum,2
74,Outside,HE_effspenum,1
75,Outside,HE_effspenum,2.828427125
79,Outside,HE_effspenum,1
81,Outside,HE_effspenum,1
84,Outside,HE_effspenum,7.164900801
87,Outside,HE_effspenum,4
91,Outside,HE_effspenum,8.705505633
92,Outside,HE_effspenum,3.789291416
95,Outside,HE_effspenum,6.40578053
100,Outside,HE_effspenum,1
102,Outside,HE_effspenum,3.479294842
104,Outside,HE_effspenum,2.749459274
106,Outside,HE_effspenum,5.857725992
108,Outside,HE_effspenum,2
110,Outside,HE_effspenum,5
112,Outside,HE_effspenum,8.261703842
115,Outside,HE_effspenum,6.416426994
117,Outside,HE_effspenum,3.435862088
119,Outside,HE_effspenum,3.40596709
121,Outside,HE_effspenum,3
123,Outside,HE_effspenum,2.871745887
126,Outside,HE_effspenum,4
128,Outside,HE_effspenum,5.621303794
130,Outside,HE_effspenum,4.585756412
132,Outside,HE_effspenum,9.118028228
134,Outside,HE_effspenum,1
136,Outside,HE_effspenum,3.789291416
138,Outside,HE_effspenum,5.819446697
140,Outside,HE_effspenum,4.537840229
142,Outside,HE_effspenum,1.77245615
144,Outside,HE_effspenum,2.58640929
146,Outside,HE_effspenum,2
148,Outside,HE_effspenum,1.889881575
1,Inside,invsimp,2.100864553
5,Inside,invsimp,6.330182309
8,Inside,invsimp,2.593360996
10,Inside,invsimp,4.302843016
14,Inside,invsimp,5.373801917
16,Inside,invsimp,5.539853024
17,Inside,invsimp,1.521266968
18,Inside,invsimp,2.721241788
19,Inside,invsimp,2.733213522
21,Inside,invsimp,3.587586207
22,Inside,invsimp,2.743486974
24,Inside,invsimp,3.226890756
26,Inside,invsimp,4.25170068
27,Inside,invsimp,2.207616067
28,Inside,invsimp,2.635036496
29,Inside,invsimp,3.58245675
31,Inside,invsimp,5.098091525
32,Inside,invsimp,2.449152542
33,Inside,invsimp,6.294055202
34,Inside,invsimp,3.95602752
36,Inside,invsimp,2.553720028
37,Inside,invsimp,2.83446712
39,Inside,invsimp,1.122308749
40,Inside,invsimp,1.125145827
43,Inside,invsimp,2.042347449
44,Inside,invsimp,2.801444712
45,Inside,invsimp,3.571428571
46,Inside,invsimp,1.923076923
47,Inside,invsimp,1
48,Inside,invsimp,6.12605042
49,Inside,invsimp,5.431914077
50,Inside,invsimp,1.814814815
54,Inside,invsimp,3.52900232
57,Inside,invsimp,1.123345095
59,Inside,invsimp,2.314285714
60,Inside,invsimp,7.469341235
61,Inside,invsimp,8.450617284
67,Inside,invsimp,3.989010989
68,Inside,invsimp,3
69,Inside,invsimp,4.8
71,Inside,invsimp,1.842278204
76,Inside,invsimp,2.777777778
77,Inside,invsimp,2.333333333
78,Inside,invsimp,2
80,Inside,invsimp,6.4
85,Inside,invsimp,7.907335907
86,Inside,invsimp,9.467532468
88,Inside,invsimp,6
89,Inside,invsimp,2.909090909
90,Inside,invsimp,4.275534442
93,Inside,invsimp,6.554896142
96,Inside,invsimp,5.142643093
97,Inside,invsimp,12.11873836
98,Inside,invsimp,16.12010444
99,Inside,invsimp,9.300738007
101,Inside,invsimp,6.66813325
103,Inside,invsimp,2.892857143
105,Inside,invsimp,2.482758621
107,Inside,invsimp,7.499058887
109,Inside,invsimp,4.365620737
111,Inside,invsimp,4.124463519
113,Inside,invsimp,5.538461538
114,Inside,invsimp,11.25581395
116,Inside,invsimp,1.92
118,Inside,invsimp,1.83905806
120,Inside,invsimp,1.774780146
122,Inside,invsimp,6.011771001
125,Inside,invsimp,6.156661786
127,Inside,invsimp,5.850091408
129,Inside,invsimp,7.006622517
131,Inside,invsimp,3.92
133,Inside,invsimp,3.813559322
135,Inside,invsimp,3.334241149
137,Inside,invsimp,3.392523364
139,Inside,invsimp,3.55336191
141,Inside,invsimp,1.677858439
143,Inside,invsimp,2.848101266
145,Inside,invsimp,3.461538462
147,Inside,invsimp,5.4
2,Outside,invsimp,1.8
4,Outside,invsimp,4.281933257
9,Outside,invsimp,4.313609467
13,Outside,invsimp,1.470588235
15,Outside,invsimp,4.513353116
20,Outside,invsimp,3.571280456
23,Outside,invsimp,2.88
30,Outside,invsimp,5.412711183
35,Outside,invsimp,6.380462137
38,Outside,invsimp,3.805755396
41,Outside,invsimp,1.032249675
42,Outside,invsimp,1.742268041
51,Outside,invsimp,Inf
52,Outside,invsimp,3.512195122
55,Outside,invsimp,1
56,Outside,invsimp,1
64,Outside,invsimp,2.333333333
65,Outside,invsimp,4.5
66,Outside,invsimp,1.8
70,Outside,invsimp,2
74,Outside,invsimp,1
75,Outside,invsimp,2.666666667
79,Outside,invsimp,Inf
81,Outside,invsimp,Inf
84,Outside,invsimp,4.64314975
87,Outside,invsimp,4
91,Outside,invsimp,8.333333333
92,Outside,invsimp,3.571428571
95,Outside,invsimp,4.93877551
100,Outside,invsimp,1
102,Outside,invsimp,2.37037037
104,Outside,invsimp,2.571428571
106,Outside,invsimp,4.84
108,Outside,invsimp,2
110,Outside,invsimp,4.166666667
112,Outside,invsimp,6.25
115,Outside,invsimp,4.89261745
117,Outside,invsimp,2.571428571
119,Outside,invsimp,2.209150327
121,Outside,invsimp,3
123,Outside,invsimp,2.777777778
126,Outside,invsimp,4
128,Outside,invsimp,3.805825243
130,Outside,invsimp,4.263157895
132,Outside,invsimp,8
134,Outside,invsimp,1
136,Outside,invsimp,3.571428571
138,Outside,invsimp,3.987551867
140,Outside,invsimp,2.810035842
142,Outside,invsimp,1.350278983
144,Outside,invsimp,2.272727273
146,Outside,invsimp,2
148,Outside,invsimp,1.8
1,Inside,J_Pielou-even,0.741339091
5,Inside,J_Pielou-even,0.722953294
8,Inside,J_Pielou-even,0.686573944
10,Inside,J_Pielou-even,0.761714931
14,Inside,J_Pielou-even,0.821614797
16,Inside,J_Pielou-even,0.73386084
17,Inside,J_Pielou-even,0.438179105
18,Inside,J_Pielou-even,0.530211512
19,Inside,J_Pielou-even,0.550372862
21,Inside,J_Pielou-even,0.77689756
22,Inside,J_Pielou-even,0.721710507
24,Inside,J_Pielou-even,0.757491273
26,Inside,J_Pielou-even,0.823436111
27,Inside,J_Pielou-even,0.500816084
28,Inside,J_Pielou-even,0.785573875
29,Inside,J_Pielou-even,0.603354633
31,Inside,J_Pielou-even,0.754895466
32,Inside,J_Pielou-even,0.634207774
33,Inside,J_Pielou-even,0.859124569
34,Inside,J_Pielou-even,0.703716576
36,Inside,J_Pielou-even,0.462577548
37,Inside,J_Pielou-even,0.495981852
39,Inside,J_Pielou-even,0.228621108
40,Inside,J_Pielou-even,0.235943278
43,Inside,J_Pielou-even,0.565284026
44,Inside,J_Pielou-even,0.600734577
45,Inside,J_Pielou-even,0.960964047
46,Inside,J_Pielou-even,0.970950594
47,Inside,J_Pielou-even,NA
48,Inside,J_Pielou-even,0.869947977
49,Inside,J_Pielou-even,0.869467515
50,Inside,J_Pielou-even,0.724834092
54,Inside,J_Pielou-even,0.767417299
57,Inside,J_Pielou-even,0.167000034
59,Inside,J_Pielou-even,0.723940485
60,Inside,J_Pielou-even,0.771223225
61,Inside,J_Pielou-even,0.773883948
67,Inside,J_Pielou-even,0.844352487
68,Inside,J_Pielou-even,1
69,Inside,J_Pielou-even,0.898374192
71,Inside,J_Pielou-even,0.487524215
76,Inside,J_Pielou-even,0.960229718
77,Inside,J_Pielou-even,0.86991553
78,Inside,J_Pielou-even,1
80,Inside,J_Pielou-even,0.979569765
85,Inside,J_Pielou-even,0.789586544
86,Inside,J_Pielou-even,0.933448096
88,Inside,J_Pielou-even,0.957742056
89,Inside,J_Pielou-even,0.738972396
90,Inside,J_Pielou-even,0.763308731
93,Inside,J_Pielou-even,0.832503065
96,Inside,J_Pielou-even,0.747891076
97,Inside,J_Pielou-even,0.737309969
98,Inside,J_Pielou-even,0.832831561
99,Inside,J_Pielou-even,0.801110666
101,Inside,J_Pielou-even,0.78363658
103,Inside,J_Pielou-even,0.787652024
105,Inside,J_Pielou-even,0.65277805
107,Inside,J_Pielou-even,0.796859233
109,Inside,J_Pielou-even,0.702493332
111,Inside,J_Pielou-even,0.74883695
113,Inside,J_Pielou-even,0.917209722
114,Inside,J_Pielou-even,0.886929908
116,Inside,J_Pielou-even,0.58918056
118,Inside,J_Pielou-even,0.384926611
120,Inside,J_Pielou-even,0.390420438
122,Inside,J_Pielou-even,0.724613659
125,Inside,J_Pielou-even,0.763421438
127,Inside,J_Pielou-even,0.830061111
129,Inside,J_Pielou-even,0.852509569
131,Inside,J_Pielou-even,0.913444321
133,Inside,J_Pielou-even,0.853489723
135,Inside,J_Pielou-even,0.545425003
137,Inside,J_Pielou-even,0.749498419
139,Inside,J_Pielou-even,0.609706787
141,Inside,J_Pielou-even,0.461864179
143,Inside,J_Pielou-even,0.844741134
145,Inside,J_Pielou-even,0.76243773
147,Inside,J_Pielou-even,0.968392514
2,Outside,J_Pielou-even,0.918295834
4,Outside,J_Pielou-even,0.809316848
9,Outside,J_Pielou-even,0.848866299
13,Outside,J_Pielou-even,0.721928095
15,Outside,J_Pielou-even,0.815435079
20,Outside,J_Pielou-even,0.703978367
