transect,type,sample,density
1,Inside,Antennariidae,0
2,Outside,Antennariidae,0
4,Outside,Antennariidae,0
5,Inside,Antennariidae,0
8,Inside,Antennariidae,0
9,Outside,Antennariidae,0
10,Inside,Antennariidae,0
13,Outside,Antennariidae,0
14,Inside,Antennariidae,0
15,Outside,Antennariidae,0
16,Inside,Antennariidae,0
17,Inside,Antennariidae,0
18,Inside,Antennariidae,0
19,Inside,Antennariidae,0
20,Outside,Antennariidae,0
21,Inside,Antennariidae,0
22,Inside,Antennariidae,0
23,Outside,Antennariidae,0
24,Inside,Antennariidae,0
26,Inside,Antennariidae,0
27,Inside,Antennariidae,0
28,Inside,Antennariidae,0
29,Inside,Antennariidae,0
30,Outside,Antennariidae,0
31,Inside,Antennariidae,0
32,Inside,Antennariidae,0
33,Inside,Antennariidae,0
34,Inside,Antennariidae,0
35,Outside,Antennariidae,0
36,Inside,Antennariidae,0
37,Inside,Antennariidae,0.003749531
38,Outside,Antennariidae,0
39,Inside,Antennariidae,0
40,Inside,Antennariidae,0
41,Outside,Antennariidae,0
42,Outside,Antennariidae,0
43,Inside,Antennariidae,0
44,Inside,Antennariidae,0
45,Inside,Antennariidae,0
46,Inside,Antennariidae,0
47,Inside,Antennariidae,0
48,Inside,Antennariidae,0
49,Inside,Antennariidae,0
50,Inside,Antennariidae,0
51,Outside,Antennariidae,0
52,Outside,Antennariidae,0
54,Inside,Antennariidae,0
55,Outside,Antennariidae,0
56,Outside,Antennariidae,0
57,Inside,Antennariidae,0
59,Inside,Antennariidae,0
60,Inside,Antennariidae,0
61,Inside,Antennariidae,0
64,Outside,Antennariidae,0
65,Outside,Antennariidae,0
66,Outside,Antennariidae,0
67,Inside,Antennariidae,0
68,Inside,Antennariidae,0
69,Inside,Antennariidae,0
70,Outside,Antennariidae,0
71,Inside,Antennariidae,0
72,Inside,Antennariidae,0
73,Outside,Antennariidae,0
74,Outside,Antennariidae,0
75,Outside,Antennariidae,0
76,Inside,Antennariidae,0
77,Inside,Antennariidae,0
78,Inside,Antennariidae,0
79,Outside,Antennariidae,0
80,Inside,Antennariidae,0
81,Outside,Antennariidae,0
84,Outside,Antennariidae,0
85,Inside,Antennariidae,0.000452714
86,Inside,Antennariidae,0
87,Outside,Antennariidae,0
88,Inside,Antennariidae,0
89,Inside,Antennariidae,0
