transect,type,sample,density
1,Inside,Ablennes,0
5,Inside,Ablennes,0
8,Inside,Ablennes,0
10,Inside,Ablennes,0
14,Inside,Ablennes,0
16,Inside,Ablennes,0
17,Inside,Ablennes,0
18,Inside,Ablennes,0
19,Inside,Ablennes,0
21,Inside,Ablennes,0
22,Inside,Ablennes,0
24,Inside,Ablennes,0
26,Inside,Ablennes,0
27,Inside,Ablennes,0
28,Inside,Ablennes,0
29,Inside,Ablennes,0
31,Inside,Ablennes,0
32,Inside,Ablennes,0
33,Inside,Ablennes,0
34,Inside,Ablennes,0
36,Inside,Ablennes,0
37,Inside,Ablennes,0
39,Inside,Ablennes,0
40,Inside,Ablennes,0
43,Inside,Ablennes,0
44,Inside,Ablennes,0
45,Inside,Ablennes,0
46,Inside,Ablennes,0
47,Inside,Ablennes,0
48,Inside,Ablennes,0
49,Inside,Ablennes,0
50,Inside,Ablennes,0
54,Inside,Ablennes,0
57,Inside,Ablennes,0
59,Inside,Ablennes,0
60,Inside,Ablennes,0.00407332
61,Inside,Ablennes,0
67,Inside,Ablennes,0
68,Inside,Ablennes,0
69,Inside,Ablennes,0
71,Inside,Ablennes,0
72,Inside,Ablennes,0
76,Inside,Ablennes,0
77,Inside,Ablennes,0
78,Inside,Ablennes,0
80,Inside,Ablennes,0
85,Inside,Ablennes,0
86,Inside,Ablennes,0
88,Inside,Ablennes,0
89,Inside,Ablennes,0
90,Inside,Ablennes,0
93,Inside,Ablennes,0
96,Inside,Ablennes,0
97,Inside,Ablennes,0
98,Inside,Ablennes,0
99,Inside,Ablennes,0
101,Inside,Ablennes,0
103,Inside,Ablennes,0.003118665
105,Inside,Ablennes,0
107,Inside,Ablennes,0
109,Inside,Ablennes,0
111,Inside,Ablennes,0
113,Inside,Ablennes,0
114,Inside,Ablennes,0
116,Inside,Ablennes,0
118,Inside,Ablennes,0.028317152
120,Inside,Ablennes,0
122,Inside,Ablennes,0
125,Inside,Ablennes,0.008379888
127,Inside,Ablennes,0
129,Inside,Ablennes,0
131,Inside,Ablennes,0
133,Inside,Ablennes,0
135,Inside,Ablennes,0.019665683
137,Inside,Ablennes,0
139,Inside,Ablennes,0
141,Inside,Ablennes,0
143,Inside,Ablennes,0
145,Inside,Ablennes,0
147,Inside,Ablennes,0
2,Outside,Ablennes,0
4,Outside,Ablennes,0
9,Outside,Ablennes,0
13,Outside,Ablennes,0
15,Outside,Ablennes,0
20,Outside,Ablennes,0
23,Outside,Ablennes,0
30,Outside,Ablennes,0
35,Outside,Ablennes,0
38,Outside,Ablennes,0
41,Outside,Ablennes,0
42,Outside,Ablennes,0
51,Outside,Ablennes,0
52,Outside,Ablennes,0
55,Outside,Ablennes,0
56,Outside,Ablennes,0
64,Outside,Ablennes,0
65,Outside,Ablennes,0
66,Outside,Ablennes,0
70,Outside,Ablennes,0
73,Outside,Ablennes,0
74,Outside,Ablennes,0
75,Outside,Ablennes,0
79,Outside,Ablennes,0
81,Outside,Ablennes,0
84,Outside,Ablennes,0
87,Outside,Ablennes,0
91,Outside,Ablennes,0
92,Outside,Ablennes,0
95,Outside,Ablennes,0
100,Outside,Ablennes,0
102,Outside,Ablennes,0
104,Outside,Ablennes,0
106,Outside,Ablennes,0
108,Outside,Ablennes,0
110,Outside,Ablennes,0
112,Outside,Ablennes,0
115,Outside,Ablennes,0
117,Outside,Ablennes,0
119,Outside,Ablennes,0
121,Outside,Ablennes,0
123,Outside,Ablennes,0
126,Outside,Ablennes,0
128,Outside,Ablennes,0
130,Outside,Ablennes,0
132,Outside,Ablennes,0
134,Outside,Ablennes,0
136,Outside,Ablennes,0
138,Outside,Ablennes,0
140,Outside,Ablennes,0
142,Outside,Ablennes,0
144,Outside,Ablennes,0
146,Outside,Ablennes,0
148,Outside,Ablennes,0
1,Inside,Abudefduf,0.238853503
5,Inside,Abudefduf,0.087789306
8,Inside,Abudefduf,0.003588088
10,Inside,Abudefduf,0.004604052
14,Inside,Abudefduf,0.017055145
16,Inside,Abudefduf,0.005157298
17,Inside,Abudefduf,0
18,Inside,Abudefduf,0.009025271
19,Inside,Abudefduf,0.061488673
21,Inside,Abudefduf,0.006677796
22,Inside,Abudefduf,0
24,Inside,Abudefduf,0
26,Inside,Abudefduf,0.007936508
27,Inside,Abudefduf,0.003306878
28,Inside,Abudefduf,0.006151953
29,Inside,Abudefduf,0.027241209
31,Inside,Abudefduf,0.029697624
32,Inside,Abudefduf,0.006518905
33,Inside,Abudefduf,0.0456621
34,Inside,Abudefduf,0.016928658
36,Inside,Abudefduf,0.145748988
37,Inside,Abudefduf,0.153730784
39,Inside,Abudefduf,0.00856898
40,Inside,Abudefduf,0
43,Inside,Abudefduf,0.002686728
44,Inside,Abudefduf,0.051664753
45,Inside,Abudefduf,0.002570694
46,Inside,Abudefduf,0
47,Inside,Abudefduf,0
48,Inside,Abudefduf,0.025258904
49,Inside,Abudefduf,0.058748404
50,Inside,Abudefduf,0
54,Inside,Abudefduf,0.004764173
57,Inside,Abudefduf,0
59,Inside,Abudefduf,0
60,Inside,Abudefduf,0.219959267
61,Inside,Abudefduf,0.005844535
67,Inside,Abudefduf,0
68,Inside,Abudefduf,0.002985075
69,Inside,Abudefduf,0.014326648
71,Inside,Abudefduf,0.003418803
72,Inside,Abudefduf,0
76,Inside,Abudefduf,0
77,Inside,Abudefduf,0
78,Inside,Abudefduf,0
80,Inside,Abudefduf,0
85,Inside,Abudefduf,0.000905428
86,Inside,Abudefduf,0
88,Inside,Abudefduf,0
89,Inside,Abudefduf,0.000418655
90,Inside,Abudefduf,0.000756172
93,Inside,Abudefduf,0.003456221
96,Inside,Abudefduf,0.000626547
97,Inside,Abudefduf,0
98,Inside,Abudefduf,0.004826076
99,Inside,Abudefduf,0.000380706
101,Inside,Abudefduf,0.004642526
103,Inside,Abudefduf,0
105,Inside,Abudefduf,0
107,Inside,Abudefduf,0.025830894
109,Inside,Abudefduf,0.005317263
111,Inside,Abudefduf,0
113,Inside,Abudefduf,0
114,Inside,Abudefduf,0.013250883
116,Inside,Abudefduf,0.004158869
118,Inside,Abudefduf,0.028317152
120,Inside,Abudefduf,0.00234852
122,Inside,Abudefduf,0.016469038
125,Inside,Abudefduf,0.022346369
127,Inside,Abudefduf,0
129,Inside,Abudefduf,0.007846214
131,Inside,Abudefduf,0
133,Inside,Abudefduf,0
135,Inside,Abudefduf,0.078662734
137,Inside,Abudefduf,0.018115942
139,Inside,Abudefduf,0.045882083
141,Inside,Abudefduf,0
143,Inside,Abudefduf,0.021276596
145,Inside,Abudefduf,0
147,Inside,Abudefduf,0
2,Outside,Abudefduf,0.005443658
4,Outside,Abudefduf,0.026132404
9,Outside,Abudefduf,0.023823705
13,Outside,Abudefduf,0
15,Outside,Abudefduf,0
20,Outside,Abudefduf,0.091503268
23,Outside,Abudefduf,0
30,Outside,Abudefduf,0.028116214
35,Outside,Abudefduf,0.048272358
38,Outside,Abudefduf,0.016844469
41,Outside,Abudefduf,0
42,Outside,Abudefduf,0
51,Outside,Abudefduf,0
52,Outside,Abudefduf,0.007549069
55,Outside,Abudefduf,0
56,Outside,Abudefduf,0
64,Outside,Abudefduf,0
65,Outside,Abudefduf,0
66,Outside,Abudefduf,0
70,Outside,Abudefduf,0
73,Outside,Abudefduf,0
74,Outside,Abudefduf,0
75,Outside,Abudefduf,0
79,Outside,Abudefduf,0
81,Outside,Abudefduf,0
84,Outside,Abudefduf,0
87,Outside,Abudefduf,0
91,Outside,Abudefduf,0.000571102
92,Outside,Abudefduf,0
95,Outside,Abudefduf,0
100,Outside,Abudefduf,0
102,Outside,Abudefduf,0
104,Outside,Abudefduf,0
106,Outside,Abudefduf,0.002339729
108,Outside,Abudefduf,0
110,Outside,Abudefduf,0.002034174
112,Outside,Abudefduf,0.001862891
115,Outside,Abudefduf,0.014818474
117,Outside,Abudefduf,0.014556041
119,Outside,Abudefduf,0.01120239
121,Outside,Abudefduf,0
123,Outside,Abudefduf,0
126,Outside,Abudefduf,0
128,Outside,Abudefduf,0
130,Outside,Abudefduf,0
132,Outside,Abudefduf,0
134,Outside,Abudefduf,0
136,Outside,Abudefduf,0
138,Outside,Abudefduf,0.052259453
140,Outside,Abudefduf,0.064399276
142,Outside,Abudefduf,0
144,Outside,Abudefduf,0
146,Outside,Abudefduf,0
148,Outside,Abudefduf,0
1,Inside,Aluterus,0
5,Inside,Aluterus,0
8,Inside,Aluterus,0
10,Inside,Aluterus,0
14,Inside,Aluterus,0
16,Inside,Aluterus,0
17,Inside,Aluterus,0
18,Inside,Aluterus,0
19,Inside,Aluterus,0
21,Inside,Aluterus,0
22,Inside,Aluterus,0
24,Inside,Aluterus,0
26,Inside,Aluterus,0
27,Inside,Aluterus,0
28,Inside,Aluterus,0
29,Inside,Aluterus,0
31,Inside,Aluterus,0
32,Inside,Aluterus,0
33,Inside,Aluterus,0
34,Inside,Aluterus,0
36,Inside,Aluterus,0
37,Inside,Aluterus,0
39,Inside,Aluterus,0
40,Inside,Aluterus,0
43,Inside,Aluterus,0
44,Inside,Aluterus,0
45,Inside,Aluterus,0
46,Inside,Aluterus,0
47,Inside,Aluterus,0
48,Inside,Aluterus,0
49,Inside,Aluterus,0
50,Inside,Aluterus,0
54,Inside,Aluterus,0
57,Inside,Aluterus,0
59,Inside,Aluterus,0
60,Inside,Aluterus,0.00407332
61,Inside,Aluterus,0
67,Inside,Aluterus,0
68,Inside,Aluterus,0
69,Inside,Aluterus,0
71,Inside,Aluterus,0
72,Inside,Aluterus,0
76,Inside,Aluterus,0
77,Inside,Aluterus,0
78,Inside,Aluterus,0
80,Inside,Aluterus,0
85,Inside,Aluterus,0
86,Inside,Aluterus,0
88,Inside,Aluterus,0
89,Inside,Aluterus,0
90,Inside,Aluterus,0.000378086
93,Inside,Aluterus,0
96,Inside,Aluterus,0
97,Inside,Aluterus,0.00133209
98,Inside,Aluterus,0.001484946
99,Inside,Aluterus,0
101,Inside,Aluterus,0
103,Inside,Aluterus,0
105,Inside,Aluterus,0
107,Inside,Aluterus,0
109,Inside,Aluterus,0
111,Inside,Aluterus,0
113,Inside,Aluterus,0
114,Inside,Aluterus,0
116,Inside,Aluterus,0
118,Inside,Aluterus,0.048543689
120,Inside,Aluterus,0
122,Inside,Aluterus,0
125,Inside,Aluterus,0
127,Inside,Aluterus,0
129,Inside,Aluterus,0.001961554
131,Inside,Aluterus,0
133,Inside,Aluterus,0
135,Inside,Aluterus,0
137,Inside,Aluterus,0
139,Inside,Aluterus,0
141,Inside,Aluterus,0
143,Inside,Aluterus,0
145,Inside,Aluterus,0
147,Inside,Aluterus,0
2,Outside,Aluterus,0
4,Outside,Aluterus,0
9,Outside,Aluterus,0
13,Outside,Aluterus,0
15,Outside,Aluterus,0
20,Outside,Aluterus,0
23,Outside,Aluterus,0
30,Outside,Aluterus,0
35,Outside,Aluterus,0
38,Outside,Aluterus,0
41,Outside,Aluterus,0
42,Outside,Aluterus,0
51,Outside,Aluterus,0
52,Outside,Aluterus,0
55,Outside,Aluterus,0
56,Outside,Aluterus,0
64,Outside,Aluterus,0
65,Outside,Aluterus,0
66,Outside,Aluterus,0
70,Outside,Aluterus,0
73,Outside,Aluterus,0
74,Outside,Aluterus,0
75,Outside,Aluterus,0
79,Outside,Aluterus,0
81,Outside,Aluterus,0
84,Outside,Aluterus,0.000249732
87,Outside,Aluterus,0
91,Outside,Aluterus,0
92,Outside,Aluterus,0
95,Outside,Aluterus,0
100,Outside,Aluterus,0
102,Outside,Aluterus,0
104,Outside,Aluterus,0
106,Outside,Aluterus,0
108,Outside,Aluterus,0
110,Outside,Aluterus,0
112,Outside,Aluterus,0.001862891
115,Outside,Aluterus,0
117,Outside,Aluterus,0
119,Outside,Aluterus,0
121,Outside,Aluterus,0
123,Outside,Aluterus,0
126,Outside,Aluterus,0
128,Outside,Aluterus,0
130,Outside,Aluterus,0
132,Outside,Aluterus,0
134,Outside,Aluterus,0
136,Outside,Aluterus,0
138,Outside,Aluterus,0
140,Outside,Aluterus,0
142,Outside,Aluterus,0
144,Outside,Aluterus,0
146,Outside,Aluterus,0
148,Outside,Aluterus,0
1,Inside,Antennarius,0
5,Inside,Antennarius,0
8,Inside,Antennarius,0
10,Inside,Antennarius,0
14,Inside,Antennarius,0
16,Inside,Antennarius,0
17,Inside,Antennarius,0
18,Inside,Antennarius,0
19,Inside,Antennarius,0
21,Inside,Antennarius,0
22,Inside,Antennarius,0
24,Inside,Antennarius,0
26,Inside,Antennarius,0
27,Inside,Antennarius,0
28,Inside,Antennarius,0
29,Inside,Antennarius,0
31,Inside,Antennarius,0
32,Inside,Antennarius,0
33,Inside,Antennarius,0
34,Inside,Antennarius,0
36,Inside,Antennarius,0
37,Inside,Antennarius,0
39,Inside,Antennarius,0
40,Inside,Antennarius,0
43,Inside,Antennarius,0
44,Inside,Antennarius,0
45,Inside,Antennarius,0
46,Inside,Antennarius,0
47,Inside,Antennarius,0
48,Inside,Antennarius,0
49,Inside,Antennarius,0
50,Inside,Antennarius,0
54,Inside,Antennarius,0
57,Inside,Antennarius,0
59,Inside,Antennarius,0
60,Inside,Antennarius,0
61,Inside,Antennarius,0
67,Inside,Antennarius,0
68,Inside,Antennarius,0
69,Inside,Antennarius,0
71,Inside,Antennarius,0
72,Inside,Antennarius,0
76,Inside,Antennarius,0
77,Inside,Antennarius,0
78,Inside,Antennarius,0
80,Inside,Antennarius,0
85,Inside,Antennarius,0.000452714
86,Inside,Antennarius,0
88,Inside,Antennarius,0
89,Inside,Antennarius,0
90,Inside,Antennarius,0
93,Inside,Antennarius,0
96,Inside,Antennarius,0.000626547
97,Inside,Antennarius,0.000666045
98,Inside,Antennarius,0.000371237
99,Inside,Antennarius,0
101,Inside,Antennarius,0
103,Inside,Antennarius,0
105,Inside,Antennarius,0
107,Inside,Antennarius,0
109,Inside,Antennarius,0
111,Inside,Antennarius,0
113,Inside,Antennarius,0
114,Inside,Antennarius,0
116,Inside,Antennarius,0
118,Inside,Antennarius,0
120,Inside,Antennarius,0
122,Inside,Antennarius,0
125,Inside,Antennarius,0
127,Inside,Antennarius,0
129,Inside,Antennarius,0
131,Inside,Antennarius,0
133,Inside,Antennarius,0
135,Inside,Antennarius,0
137,Inside,Antennarius,0
139,Inside,Antennarius,0.004588208
141,Inside,Antennarius,0
143,Inside,Antennarius,0
145,Inside,Antennarius,0
147,Inside,Antennarius,0
2,Outside,Antennarius,0
4,Outside,Antennarius,0
9,Outside,Antennarius,0
13,Outside,Antennarius,0
15,Outside,Antennarius,0
20,Outside,Antennarius,0
23,Outside,Antennarius,0
30,Outside,Antennarius,0
35,Outside,Antennarius,0
38,Outside,Antennarius,0
41,Outside,Antennarius,0
42,Outside,Antennarius,0
51,Outside,Antennarius,0
52,Outside,Antennarius,0
55,Outside,Antennarius,0
56,Outside,Antennarius,0
64,Outside,Antennarius,0
65,Outside,Antennarius,0
66,Outside,Antennarius,0
70,Outside,Antennarius,0
73,Outside,Antennarius,0
74,Outside,Antennarius,0
75,Outside,Antennarius,0
79,Outside,Antennarius,0
81,Outside,Antennarius,0
84,Outside,Antennarius,0
87,Outside,Antennarius,0
91,Outside,Antennarius,0
92,Outside,Antennarius,0
95,Outside,Antennarius,0
100,Outside,Antennarius,0
102,Outside,Antennarius,0
104,Outside,Antennarius,0
106,Outside,Antennarius,0
108,Outside,Antennarius,0
110,Outside,Antennarius,0
112,Outside,Antennarius,0
115,Outside,Antennarius,0
117,Outside,Antennarius,0
119,Outside,Antennarius,0
121,Outside,Antennarius,0
123,Outside,Antennarius,0
126,Outside,Antennarius,0
128,Outside,Antennarius,0
130,Outside,Antennarius,0
132,Outside,Antennarius,0
134,Outside,Antennarius,0
136,Outside,Antennarius,0
138,Outside,Antennarius,0
140,Outside,Antennarius,0
142,Outside,Antennarius,0
144,Outside,Antennarius,0
146,Outside,Antennarius,0
148,Outside,Antennarius,0
1,Inside,Antigonia,0
5,Inside,Antigonia,0
8,Inside,Antigonia,0
10,Inside,Antigonia,0
14,Inside,Antigonia,0
16,Inside,Antigonia,0.005157298
17,Inside,Antigonia,0
18,Inside,Antigonia,0
19,Inside,Antigonia,0
21,Inside,Antigonia,0
22,Inside,Antigonia,0
24,Inside,Antigonia,0
26,Inside,Antigonia,0
27,Inside,Antigonia,0
28,Inside,Antigonia,0
29,Inside,Antigonia,0
31,Inside,Antigonia,0
32,Inside,Antigonia,0
33,Inside,Antigonia,0
34,Inside,Antigonia,0
36,Inside,Antigonia,0
37,Inside,Antigonia,0
39,Inside,Antigonia,0
40,Inside,Antigonia,0
43,Inside,Antigonia,0
44,Inside,Antigonia,0
45,Inside,Antigonia,0
46,Inside,Antigonia,0
47,Inside,Antigonia,0
48,Inside,Antigonia,0
49,Inside,Antigonia,0
50,Inside,Antigonia,0
54,Inside,Antigonia,0
57,Inside,Antigonia,0
59,Inside,Antigonia,0
60,Inside,Antigonia,0
61,Inside,Antigonia,0
67,Inside,Antigonia,0
68,Inside,Antigonia,0
69,Inside,Antigonia,0
71,Inside,Antigonia,0
72,Inside,Antigonia,0
76,Inside,Antigonia,0
77,Inside,Antigonia,0
78,Inside,Antigonia,0
80,Inside,Antigonia,0
85,Inside,Antigonia,0
86,Inside,Antigonia,0
88,Inside,Antigonia,0
89,Inside,Antigonia,0
90,Inside,Antigonia,0
93,Inside,Antigonia,0
96,Inside,Antigonia,0
97,Inside,Antigonia,0
98,Inside,Antigonia,0
99,Inside,Antigonia,0
101,Inside,Antigonia,0
103,Inside,Antigonia,0
105,Inside,Antigonia,0
107,Inside,Antigonia,0
109,Inside,Antigonia,0
111,Inside,Antigonia,0
113,Inside,Antigonia,0
114,Inside,Antigonia,0
116,Inside,Antigonia,0
118,Inside,Antigonia,0
120,Inside,Antigonia,0
122,Inside,Antigonia,0
125,Inside,Antigonia,0
127,Inside,Antigonia,0
129,Inside,Antigonia,0
131,Inside,Antigonia,0
133,Inside,Antigonia,0
135,Inside,Antigonia,0
137,Inside,Antigonia,0
139,Inside,Antigonia,0
141,Inside,Antigonia,0
143,Inside,Antigonia,0
145,Inside,Antigonia,0
147,Inside,Antigonia,0
2,Outside,Antigonia,0
4,Outside,Antigonia,0
9,Outside,Antigonia,0
13,Outside,Antigonia,0
15,Outside,Antigonia,0
20,Outside,Antigonia,0
23,Outside,Antigonia,0
30,Outside,Antigonia,0
35,Outside,Antigonia,0
38,Outside,Antigonia,0
41,Outside,Antigonia,0
42,Outside,Antigonia,0
51,Outside,Antigonia,0
52,Outside,Antigonia,0
55,Outside,Antigonia,0
56,Outside,Antigonia,0
64,Outside,Antigonia,0
65,Outside,Antigonia,0
66,Outside,Antigonia,0
70,Outside,Antigonia,0
73,Outside,Antigonia,0
74,Outside,Antigonia,0
75,Outside,Antigonia,0
79,Outside,Antigonia,0
81,Outside,Antigonia,0
84,Outside,Antigonia,0
87,Outside,Antigonia,0
91,Outside,Antigonia,0
92,Outside,Antigonia,0
95,Outside,Antigonia,0
100,Outside,Antigonia,0
102,Outside,Antigonia,0
104,Outside,Antigonia,0
106,Outside,Antigonia,0
108,Outside,Antigonia,0
110,Outside,Antigonia,0
112,Outside,Antigonia,0
115,Outside,Antigonia,0
117,Outside,Antigonia,0
119,Outside,Antigonia,0
121,Outside,Antigonia,0
123,Outside,Antigonia,0
126,Outside,Antigonia,0
128,Outside,Antigonia,0
130,Outside,Antigonia,0
132,Outside,Antigonia,0
134,Outside,Antigonia,0
136,Outside,Antigonia,0
138,Outside,Antigonia,0
140,Outside,Antigonia,0
142,Outside,Antigonia,0
144,Outside,Antigonia,0
146,Outside,Antigonia,0
148,Outside,Antigonia,0
1,Inside,Apogon,0
5,Inside,Apogon,0.002660282
8,Inside,Apogon,0
10,Inside,Apogon,0
14,Inside,Apogon,0
16,Inside,Apogon,0
17,Inside,Apogon,0
18,Inside,Apogon,0
19,Inside,Apogon,0
21,Inside,Apogon,0
22,Inside,Apogon,0
24,Inside,Apogon,0
26,Inside,Apogon,0
27,Inside,Apogon,0
28,Inside,Apogon,0
29,Inside,Apogon,0
31,Inside,Apogon,0
32,Inside,Apogon,0
33,Inside,Apogon,0
34,Inside,Apogon,0
36,Inside,Apogon,0
37,Inside,Apogon,0
39,Inside,Apogon,0
40,Inside,Apogon,0
43,Inside,Apogon,0
44,Inside,Apogon,0
45,Inside,Apogon,0
46,Inside,Apogon,0
47,Inside,Apogon,0
48,Inside,Apogon,0
49,Inside,Apogon,0
50,Inside,Apogon,0
54,Inside,Apogon,0
57,Inside,Apogon,0
59,Inside,Apogon,0
60,Inside,Apogon,0
61,Inside,Apogon,0
67,Inside,Apogon,0
68,Inside,Apogon,0
69,Inside,Apogon,0
71,Inside,Apogon,0
72,Inside,Apogon,0
76,Inside,Apogon,0
77,Inside,Apogon,0
78,Inside,Apogon,0
80,Inside,Apogon,0
85,Inside,Apogon,0
86,Inside,Apogon,0
88,Inside,Apogon,0
89,Inside,Apogon,0
90,Inside,Apogon,0
93,Inside,Apogon,0
96,Inside,Apogon,0
97,Inside,Apogon,0
98,Inside,Apogon,0
99,Inside,Apogon,0
101,Inside,Apogon,0
103,Inside,Apogon,0
105,Inside,Apogon,0
107,Inside,Apogon,0
109,Inside,Apogon,0
111,Inside,Apogon,0
113,Inside,Apogon,0
114,Inside,Apogon,0
116,Inside,Apogon,0
118,Inside,Apogon,0
120,Inside,Apogon,0
122,Inside,Apogon,0
125,Inside,Apogon,0
127,Inside,Apogon,0
129,Inside,Apogon,0
131,Inside,Apogon,0
133,Inside,Apogon,0
135,Inside,Apogon,0
137,Inside,Apogon,0
139,Inside,Apogon,0
141,Inside,Apogon,0
143,Inside,Apogon,0
145,Inside,Apogon,0
147,Inside,Apogon,0
