transect,type,sample,density
1,Inside,Ablennes hians,0
5,Inside,Ablennes hians,0
8,Inside,Ablennes hians,0
10,Inside,Ablennes hians,0
14,Inside,Ablennes hians,0
16,Inside,Ablennes hians,0
17,Inside,Ablennes hians,0
18,Inside,Ablennes hians,0
19,Inside,Ablennes hians,0
21,Inside,Ablennes hians,0
22,Inside,Ablennes hians,0
24,Inside,Ablennes hians,0
26,Inside,Ablennes hians,0
27,Inside,Ablennes hians,0
28,Inside,Ablennes hians,0
29,Inside,Ablennes hians,0
31,Inside,Ablennes hians,0
32,Inside,Ablennes hians,0
33,Inside,Ablennes hians,0
34,Inside,Ablennes hians,0
36,Inside,Ablennes hians,0
37,Inside,Ablennes hians,0
39,Inside,Ablennes hians,0
40,Inside,Ablennes hians,0
43,Inside,Ablennes hians,0
44,Inside,Ablennes hians,0
45,Inside,Ablennes hians,0
46,Inside,Ablennes hians,0
47,Inside,Ablennes hians,0
48,Inside,Ablennes hians,0
49,Inside,Ablennes hians,0
50,Inside,Ablennes hians,0
54,Inside,Ablennes hians,0
57,Inside,Ablennes hians,0
59,Inside,Ablennes hians,0
60,Inside,Ablennes hians,0.00407332
61,Inside,Ablennes hians,0
67,Inside,Ablennes hians,0
68,Inside,Ablennes hians,0
69,Inside,Ablennes hians,0
71,Inside,Ablennes hians,0
76,Inside,Ablennes hians,0
77,Inside,Ablennes hians,0
78,Inside,Ablennes hians,0
80,Inside,Ablennes hians,0
85,Inside,Ablennes hians,0
86,Inside,Ablennes hians,0
88,Inside,Ablennes hians,0
89,Inside,Ablennes hians,0
90,Inside,Ablennes hians,0
93,Inside,Ablennes hians,0
96,Inside,Ablennes hians,0
97,Inside,Ablennes hians,0
98,Inside,Ablennes hians,0
99,Inside,Ablennes hians,0
101,Inside,Ablennes hians,0
103,Inside,Ablennes hians,0.003118665
105,Inside,Ablennes hians,0
107,Inside,Ablennes hians,0
109,Inside,Ablennes hians,0
111,Inside,Ablennes hians,0
113,Inside,Ablennes hians,0
114,Inside,Ablennes hians,0
116,Inside,Ablennes hians,0
118,Inside,Ablennes hians,0.028317152
120,Inside,Ablennes hians,0
122,Inside,Ablennes hians,0
125,Inside,Ablennes hians,0.008379888
127,Inside,Ablennes hians,0
129,Inside,Ablennes hians,0
131,Inside,Ablennes hians,0
133,Inside,Ablennes hians,0
135,Inside,Ablennes hians,0.019665683
137,Inside,Ablennes hians,0
139,Inside,Ablennes hians,0
141,Inside,Ablennes hians,0
143,Inside,Ablennes hians,0
145,Inside,Ablennes hians,0
147,Inside,Ablennes hians,0
2,Outside,Ablennes hians,0
4,Outside,Ablennes hians,0
9,Outside,Ablennes hians,0
13,Outside,Ablennes hians,0
15,Outside,Ablennes hians,0
20,Outside,Ablennes hians,0
23,Outside,Ablennes hians,0
30,Outside,Ablennes hians,0
35,Outside,Ablennes hians,0
38,Outside,Ablennes hians,0
41,Outside,Ablennes hians,0
42,Outside,Ablennes hians,0
51,Outside,Ablennes hians,0
52,Outside,Ablennes hians,0
55,Outside,Ablennes hians,0
56,Outside,Ablennes hians,0
64,Outside,Ablennes hians,0
65,Outside,Ablennes hians,0
66,Outside,Ablennes hians,0
70,Outside,Ablennes hians,0
74,Outside,Ablennes hians,0
75,Outside,Ablennes hians,0
79,Outside,Ablennes hians,0
81,Outside,Ablennes hians,0
84,Outside,Ablennes hians,0
87,Outside,Ablennes hians,0
91,Outside,Ablennes hians,0
92,Outside,Ablennes hians,0
95,Outside,Ablennes hians,0
100,Outside,Ablennes hians,0
102,Outside,Ablennes hians,0
104,Outside,Ablennes hians,0
106,Outside,Ablennes hians,0
108,Outside,Ablennes hians,0
110,Outside,Ablennes hians,0
112,Outside,Ablennes hians,0
115,Outside,Ablennes hians,0
117,Outside,Ablennes hians,0
119,Outside,Ablennes hians,0
121,Outside,Ablennes hians,0
123,Outside,Ablennes hians,0
126,Outside,Ablennes hians,0
128,Outside,Ablennes hians,0
130,Outside,Ablennes hians,0
132,Outside,Ablennes hians,0
134,Outside,Ablennes hians,0
136,Outside,Ablennes hians,0
138,Outside,Ablennes hians,0
140,Outside,Ablennes hians,0
142,Outside,Ablennes hians,0
144,Outside,Ablennes hians,0
146,Outside,Ablennes hians,0
148,Outside,Ablennes hians,0
1,Inside,Abudefduf sordidus,0
5,Inside,Abudefduf sordidus,0
8,Inside,Abudefduf sordidus,0
10,Inside,Abudefduf sordidus,0
14,Inside,Abudefduf sordidus,0
16,Inside,Abudefduf sordidus,0
17,Inside,Abudefduf sordidus,0
18,Inside,Abudefduf sordidus,0
19,Inside,Abudefduf sordidus,0
21,Inside,Abudefduf sordidus,0
22,Inside,Abudefduf sordidus,0
24,Inside,Abudefduf sordidus,0
26,Inside,Abudefduf sordidus,0
27,Inside,Abudefduf sordidus,0
28,Inside,Abudefduf sordidus,0
29,Inside,Abudefduf sordidus,0
31,Inside,Abudefduf sordidus,0
32,Inside,Abudefduf sordidus,0
33,Inside,Abudefduf sordidus,0
34,Inside,Abudefduf sordidus,0
36,Inside,Abudefduf sordidus,0
37,Inside,Abudefduf sordidus,0
39,Inside,Abudefduf sordidus,0
40,Inside,Abudefduf sordidus,0
43,Inside,Abudefduf sordidus,0
44,Inside,Abudefduf sordidus,0
45,Inside,Abudefduf sordidus,0
46,Inside,Abudefduf sordidus,0
47,Inside,Abudefduf sordidus,0
48,Inside,Abudefduf sordidus,0
49,Inside,Abudefduf sordidus,0
50,Inside,Abudefduf sordidus,0
54,Inside,Abudefduf sordidus,0
57,Inside,Abudefduf sordidus,0
59,Inside,Abudefduf sordidus,0
60,Inside,Abudefduf sordidus,0
61,Inside,Abudefduf sordidus,0
67,Inside,Abudefduf sordidus,0
68,Inside,Abudefduf sordidus,0
69,Inside,Abudefduf sordidus,0
71,Inside,Abudefduf sordidus,0
76,Inside,Abudefduf sordidus,0
77,Inside,Abudefduf sordidus,0
78,Inside,Abudefduf sordidus,0
80,Inside,Abudefduf sordidus,0
85,Inside,Abudefduf sordidus,0
86,Inside,Abudefduf sordidus,0
88,Inside,Abudefduf sordidus,0
89,Inside,Abudefduf sordidus,0
90,Inside,Abudefduf sordidus,0
93,Inside,Abudefduf sordidus,0
96,Inside,Abudefduf sordidus,0
97,Inside,Abudefduf sordidus,0
98,Inside,Abudefduf sordidus,0.001484946
99,Inside,Abudefduf sordidus,0
101,Inside,Abudefduf sordidus,0
103,Inside,Abudefduf sordidus,0
105,Inside,Abudefduf sordidus,0
107,Inside,Abudefduf sordidus,0
109,Inside,Abudefduf sordidus,0
111,Inside,Abudefduf sordidus,0
113,Inside,Abudefduf sordidus,0
114,Inside,Abudefduf sordidus,0
116,Inside,Abudefduf sordidus,0
118,Inside,Abudefduf sordidus,0
120,Inside,Abudefduf sordidus,0
122,Inside,Abudefduf sordidus,0
