taxon,family,genus,species,transect,type,volume.m3,total.length.mm,Habitat,Habitat.verbose
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,1,Inside,62.8,5,CoralReef,Reef-associated
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,1,Inside,62.8,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,4,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,1,Inside,62.8,6,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,1,Inside,62.8,5,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,4,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,1,Inside,62.8,6,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,1,Inside,62.8,5,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,1,Inside,62.8,5,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,4,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,4,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,4,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,4,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,1,Inside,62.8,4,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,1,Inside,62.8,3,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,2,Outside,183.7,3,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,2,Outside,183.7,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,2,Outside,183.7,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,4,Outside,344.4,2,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Unknown,Unknown,Unknown,,4,Outside,344.4,4,NA,NA
Parupeneus sp.,Mullidae,Parupeneus,sp.,4,Outside,344.4,4,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,4,Outside,344.4,4,NA,NA
Unknown,Unknown,Unknown,,4,Outside,344.4,2,NA,NA
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,6,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,4,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,4,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,4,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,3,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,3,CoralReef,Reef-associated
