transect,type,sample,density,guild
1,Inside,Amphipods,0.079617834,Holoplankton
5,Inside,Amphipods,5.693003458,Holoplankton
8,Inside,Amphipods,0.287047004,Holoplankton
10,Inside,Amphipods,0.211786372,Holoplankton
14,Inside,Amphipods,0.079590677,Holoplankton
16,Inside,Amphipods,0.70139247,Holoplankton
17,Inside,Amphipods,28.59504132,Holoplankton
18,Inside,Amphipods,0.096269555,Holoplankton
19,Inside,Amphipods,17.03559871,Holoplankton
21,Inside,Amphipods,7.532554257,Holoplankton
22,Inside,Amphipods,0.003625816,Holoplankton
24,Inside,Amphipods,9.627928342,Holoplankton
26,Inside,Amphipods,0.486772487,Holoplankton
27,Inside,Amphipods,0.092592593,Holoplankton
28,Inside,Amphipods,0.393725008,Holoplankton
29,Inside,Amphipods,0.180782566,Holoplankton
31,Inside,Amphipods,0.140388769,Holoplankton
32,Inside,Amphipods,0.469361147,Holoplankton
33,Inside,Amphipods,0.048515982,Holoplankton
34,Inside,Amphipods,22.40386941,Holoplankton
36,Inside,Amphipods,29.40890688,Holoplankton
37,Inside,Amphipods,0.299962505,Holoplankton
39,Inside,Amphipods,0.205655527,Holoplankton
40,Inside,Amphipods,30.00279877,Holoplankton
43,Inside,Amphipods,0.042987641,Holoplankton
44,Inside,Amphipods,41.05625718,Holoplankton
45,Inside,Amphipods,0.12596401,Holoplankton
46,Inside,Amphipods,0.189785096,Holoplankton
47,Inside,Amphipods,0,Holoplankton
48,Inside,Amphipods,0.058095479,Holoplankton
49,Inside,Amphipods,0.066411239,Holoplankton
50,Inside,Amphipods,0.290674203,Holoplankton
54,Inside,Amphipods,0.078608861,Holoplankton
57,Inside,Amphipods,0.111978283,Holoplankton
59,Inside,Amphipods,0.166884817,Holoplankton
60,Inside,Amphipods,1.531568228,Holoplankton
61,Inside,Amphipods,2.080654588,Holoplankton
67,Inside,Amphipods,0.60899654,Holoplankton
68,Inside,Amphipods,0.020895522,Holoplankton
69,Inside,Amphipods,1.074498567,Holoplankton
71,Inside,Amphipods,0.205128205,Holoplankton
72,Inside,Amphipods,0.021551724,Holoplankton
76,Inside,Amphipods,0.173761946,Holoplankton
77,Inside,Amphipods,0.110146862,Holoplankton
78,Inside,Amphipods,0.054315027,Holoplankton
80,Inside,Amphipods,0.113012593,Holoplankton
85,Inside,Amphipods,0.056136539,Holoplankton
86,Inside,Amphipods,0.063909543,Holoplankton
88,Inside,Amphipods,0.0081103,Holoplankton
89,Inside,Amphipods,0.001674621,Holoplankton
90,Inside,Amphipods,0.052932058,Holoplankton
93,Inside,Amphipods,0.116359447,Holoplankton
96,Inside,Amphipods,0.258763823,Holoplankton
97,Inside,Amphipods,0.506194219,Holoplankton
98,Inside,Amphipods,0.10988603,Holoplankton
99,Inside,Amphipods,0.074618342,Holoplankton
101,Inside,Amphipods,0.271587744,Holoplankton
103,Inside,Amphipods,0.043661313,Holoplankton
105,Inside,Amphipods,0.028513922,Holoplankton
107,Inside,Amphipods,0.707766489,Holoplankton
109,Inside,Amphipods,0.358029068,Holoplankton
111,Inside,Amphipods,0.136546185,Holoplankton
113,Inside,Amphipods,0.067114094,Holoplankton
114,Inside,Amphipods,0.43065371,Holoplankton
116,Inside,Amphipods,0.05198586,Holoplankton
118,Inside,Amphipods,0.469255663,Holoplankton
120,Inside,Amphipods,0.039924847,Holoplankton
122,Inside,Amphipods,1.238471673,Holoplankton
125,Inside,Amphipods,0.229050279,Holoplankton
127,Inside,Amphipods,0.056066383,Holoplankton
129,Inside,Amphipods,0.001961554,Holoplankton
131,Inside,Amphipods,0.165152766,Holoplankton
133,Inside,Amphipods,0.210996145,Holoplankton
135,Inside,Amphipods,1.297935103,Holoplankton
137,Inside,Amphipods,0.078502415,Holoplankton
139,Inside,Amphipods,3.014452856,Holoplankton
141,Inside,Amphipods,0.180722892,Holoplankton
143,Inside,Amphipods,0.048632219,Holoplankton
145,Inside,Amphipods,0.075014426,Holoplankton
147,Inside,Amphipods,0.125580126,Holoplankton
2,Outside,Amphipods,0.043549265,Holoplankton
4,Outside,Amphipods,0,Holoplankton
9,Outside,Amphipods,4.705181656,Holoplankton
13,Outside,Amphipods,0.002814523,Holoplankton
15,Outside,Amphipods,15.25339926,Holoplankton
20,Outside,Amphipods,0.052287582,Holoplankton
23,Outside,Amphipods,0.003147624,Holoplankton
30,Outside,Amphipods,0.009372071,Holoplankton
35,Outside,Amphipods,0.31504065,Holoplankton
38,Outside,Amphipods,0.266704099,Holoplankton
41,Outside,Amphipods,7.450377411,Holoplankton
42,Outside,Amphipods,0.130858186,Holoplankton
51,Outside,Amphipods,0.005737235,Holoplankton
52,Outside,Amphipods,0.070457977,Holoplankton
55,Outside,Amphipods,0.03429878,Holoplankton
56,Outside,Amphipods,0.030975736,Holoplankton
